ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0000001,0.517,1063555198349.9999,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,1129.35,2026-06-15,1063555198350.0,3133837611.0208826,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144949999.9999995,0.149,609349099500.0,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,140.92,2026-06-15,584106353999.9999,3184406781.7111764,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1943-01-02,Healthcare,Drug Manufacturers - General,US,2407216971.000594,0.256,579826351804.77,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,235.66,2026-06-15,567284751386.0,1865255546.3623528,True
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2876046000.0,1.655,554041501440.0,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,192.64,2026-06-15,554041501440.0,4981616892.666176,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460637000.0,1.603,430202713410.0,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,933.93,2026-06-15,430202713410.0,2132845537.7435293,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.99824,0.309,391503621205.39,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,221.59,2026-06-15,391503621205.0,1407193920.1420588,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144403.9996107,0.65,373283675820.16003,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,411.04,2026-06-15,373283675820.0,3070381419.3523526,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.472,372867352000.0,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,180.4,2026-06-15,359284640000.0,2192050057.7241173,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2328598977.997807,0.385,348381693098.58,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,150.46,2026-06-15,350361002229.55005,1480518282.1697059,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1919-09-05,Consumer Defensive,Beverages - Non-Alcoholic,US,4302482417.995303,0.354,355471097375.16003,2026-06-15,fmp:company-screener,2026-06-16T12:39:29.121075+00:00,80.91,2026-06-15,348113852439.99994,1251972587.9585292,True
