ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,hurdle_cvar,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,70,False,-0.22103927793679753,-0.02117277925135565,-0.022435462358407654,-0.10103927793679754,0.22103927793679753,0.7269,0.70569,1.0,0.70569,False,
APTV,Aptiv PLC,Consumer Cyclical,Auto - Parts,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,219,False,-0.4763868428464048,-0.14540817152446833,-0.08907799666048957,-0.3563868428464048,0.4763868428464048,0.686,0.45303705,1.0,0.45303705,False,
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
SOLV,Solventum Corporation,Healthcare,Medical - Care Facilities,hard_filter_rejected,step2_hard_filters,listing_age,,,,,,,,,,,,,
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,46,False,-0.1781770168850198,0.0077868999505881446,0.0030268250964582237,-0.05817701688501982,0.1781770168850198,0.6897,0.6025590000000001,1.0,0.6025590000000001,False,
EG,"Everest Re Group, Ltd.",Financial Services,Insurance - Reinsurance,watchlist,step2_model_routing,insurance_model_not_supported,,,,,,,,,,,,,
DVA,DaVita Inc.,Healthcare,Medical - Care Facilities,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,96,False,-0.26978228959953404,0.02360933589952769,0.049112362426240036,-0.14978228959953405,0.26978228959953404,0.8233,0.7911900000000001,1.0,0.7911900000000001,False,
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,research_queue,step7_risk_adjusted_ranking,robust_return<=0,27,False,-0.14246643501439635,0.12018179848382718,0.14101338193286214,-0.04028788423165675,0.16028788423165674,0.7349,0.8481,1.0,0.8481,False,
SWK,"Stanley Black & Decker, Inc.",Industrials,Manufacturing - Tools & Accessories,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,134,False,-0.32092179579660296,-0.005906925139424833,0.028962942480575318,-0.20092179579660294,0.32092179579660296,0.6511,0.6687,1.0,0.6687,False,
GL,Globe Life Inc.,Financial Services,Insurance - Life,watchlist,step2_model_routing,insurance_model_not_supported,,,,,,,,,,,,,
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,watchlist,step2_model_routing,insurance_model_not_supported,,,,,,,,,,,,,
IVZ,Invesco Ltd.,Financial Services,Asset Management,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
UDR,"UDR, Inc.",Real Estate,REIT - Residential,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,136,False,-0.3216982509812806,-0.1335447715813643,-0.12914914787688753,-0.20169825098128055,0.3216982509812806,0.74,0.64152,1.0,0.64152,False,
BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,26,False,-0.142013046615757,0.02345095394994135,0.03385578379966321,-0.022013046615757016,0.142013046615757,0.8718,0.683235,1.0,0.683235,False,
PNW,Pinnacle West Capital Corporation,Utilities,Regulated Electric,hard_filter_rejected,step2_hard_filters,persistent_negative_fcf;excessive_leverage,,,,,,,,,,,,,
MGM,MGM Resorts International,Consumer Cyclical,"Gambling, Resorts & Casinos",hard_filter_rejected,step2_hard_filters,excessive_leverage,,,,,,,,,,,,,
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,hard_filter_rejected,step2_hard_filters,interest_coverage;excessive_leverage,,,,,,,,,,,,,
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,64,False,-0.21142184222291685,-0.01695533003512534,-0.009030601498670849,-0.09142184222291685,0.21142184222291685,0.8499,0.828,1.0,0.828,False,
PNR,Pentair plc,Industrials,Industrial - Machinery,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,94,False,-0.2687491065636277,-0.03370354867001877,-0.023576207883888825,-0.14874910656362772,0.2687491065636277,0.6453,0.6582600000000001,1.0,0.6582600000000001,False,
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,research_queue,step7_risk_adjusted_ranking,robust_return<=0,50,False,-0.18317758126526335,0.10303442708536754,0.12487384441192265,-0.06672754331957545,0.18672754331957545,0.936,0.7283700000000001,1.0,0.7283700000000001,False,
CPT,Camden Property Trust,Real Estate,REIT - Residential,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
ALLE,Allegion plc,Industrials,Security & Protection Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,49,False,-0.18314137306762857,0.029234530855319494,0.03860317252692768,-0.06314137306762856,0.18314137306762857,0.908,0.8503,1.0,0.8503,False,
RVTY,"Revvity, Inc.",Healthcare,Medical - Diagnostics & Research,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,274,False,-1.0699999999999998,-0.42349441805417876,-0.30331621966324745,-0.95,1.0699999999999998,0.3116,0.46962000000000004,1.0,0.46962000000000004,True,bear
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
BAX,Baxter International Inc.,Healthcare,Medical - Instruments & Supplies,hard_filter_rejected,step2_hard_filters,interest_coverage;excessive_leverage,,,,,,,,,,,,,
BXP,"BXP, Inc.",Real Estate,REIT - Office,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
AES,The AES Corporation,Utilities,Independent Power Producers,hard_filter_rejected,step2_hard_filters,persistent_negative_fcf;interest_coverage;excessive_leverage,,,,,,,,,,,,,
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,152,False,-0.35106611163821067,-7.625532452912309e-06,0.03259689828846606,-0.23106611163821067,0.35106611163821067,0.733,0.612603,1.0,0.612603,False,
IT,"Gartner, Inc.",Industrials,Consulting Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0,15,False,-0.09504145411767712,0.15360988057364017,0.17118171281181277,-0.013013166852761032,0.13301316685276102,0.9097,0.7419,1.0,0.7419,False,
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
UHS,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,eligible,step7_risk_adjusted_ranking,eligible,1,True,0.15987097815739498,0.3089931901078672,0.32817346791853197,0.1519918376405258,0.0,0.7846,0.7679699999999999,1.0,0.7679699999999999,False,
CRL,"Charles River Laboratories International, Inc.",Healthcare,Medical - Diagnostics & Research,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,272,False,-1.0699999999999998,-0.40089578510160195,-0.2626641593989915,-0.95,1.0699999999999998,0.4019,0.5469930000000001,1.0,0.5469930000000001,True,bear
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,hard_filter_rejected,step2_hard_filters,interest_coverage,,,,,,,,,,,,,
FDS,FactSet Research Systems Inc.,Financial Services,Financial - Data & Stock Exchanges,watchlist,step2_model_routing,financial_sector_model_not_supported,,,,,,,,,,,,,
BLDR,"Builders FirstSource, Inc.",Industrials,Construction,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.25830013107042754,-0.13478494685841713,-0.95,1.0699999999999998,0.5976,0.31419900000000006,1.0,0.31419900000000006,True,bear
AOS,A. O. Smith Corporation,Industrials,Industrial - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,53,False,-0.1926399151491932,0.010395557250012673,0.017083563306368912,-0.07263991514919321,0.1926399151491932,0.9529,0.8203,1.0,0.8203,False,
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Alcoholic,hard_filter_rejected,step2_hard_filters,interest_coverage;negative_ebitda_with_debt,,,,,,,,,,,,,
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3197,1.0,,,
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,research_queue,step7_risk_adjusted_ranking,robust_return<=0,93,False,-0.26861508193744443,0.0947823257301934,0.15251022321172059,-0.17061474998481574,0.29061474998481573,0.4143,0.6767,1.0,0.6767,False,
NVDA,NVIDIA Corporation,Technology,Semiconductors,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.1830712337210571,-0.1769535558036296,-0.3288876027436346,0.4488876027436346,0.8597,0.3443796,1.0,0.3443796,False,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,133,False,-0.32089606354740674,-0.12830351936609075,-0.12445530540571778,-0.20089606354740677,0.32089606354740674,0.9495,0.7379,1.0,0.7379,False,
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,hard_filter_rejected,step2_hard_filters,duplicate_share_class,,,,,,,,,,,,,
AAPL,Apple Inc.,Technology,Consumer Electronics,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,120,False,-0.30450911967956923,-0.10311415558753648,-0.09743673042394217,-0.18450911967956923,0.30450911967956923,0.9712,0.69309,0.95,0.6584355,False,
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,58,False,-0.20736469109717287,-0.016561032445315482,-0.00930898994993183,-0.08736469109717289,0.20736469109717287,0.9665,0.8866,1.0,0.8866,False,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,226,False,-0.5129152130091097,-0.2765383320216642,-0.2656645153751015,-0.3929152130091097,0.5129152130091097,0.6575,0.6481,1.0,0.6481,False,
AVGO,Broadcom Inc.,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,233,False,-0.5468693855003222,-0.3051268155679281,-0.2947290694210095,-0.4268693855003221,0.5468693855003222,0.7053,0.44979300000000005,1.0,0.44979300000000005,False,
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3169,1.0,,,
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,35,False,-0.15802019870199724,0.05825232992137903,0.06693008148358788,-0.03802019870199724,0.15802019870199724,0.9547,0.7459,1.0,0.7459,False,
MU,"Micron Technology, Inc.",Technology,Semiconductors,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.2689850275132812,-0.2548452354658366,-0.46462520061868406,0.5846252006186841,0.6493,0.300348,1.0,0.300348,False,
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,150,False,-0.3453051051520742,-0.15574878232146144,-0.1497671545075718,-0.2253051051520742,0.3453051051520742,0.8428,0.9077,1.0,0.9077,False,
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.44219546549920785,-0.44011066375096564,-0.5336312190171157,0.6536312190171157,0.3728,0.28212300000000007,1.0,0.28212300000000007,False,
ASML,ASML Holding N.V.,Technology,Semiconductors,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
INTC,Intel Corporation,Technology,Semiconductors,hard_filter_rejected,step2_hard_filters,persistent_negative_fcf;interest_coverage,,,,,,,,,,,,,
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,155,False,-0.3550806646456476,-0.19606200653433914,-0.19573262901394628,-0.23508066464564759,0.3550806646456476,0.8713,0.76932,1.0,0.76932,False,
LRCX,Lam Research Corporation,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,204,False,-0.4456328993680655,-0.2728678535662766,-0.2731772737897699,-0.3256328993680655,0.4456328993680655,0.9787,0.6525,1.0,0.6525,False,
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,179,False,-0.4092505833922768,-0.24374551348701057,-0.24444641523514288,-0.2892505833922768,0.4092505833922768,0.9754,0.7448,1.0,0.7448,False,
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,144,False,-0.33261658564326346,-0.14559192151009478,-0.13785216381438653,-0.2126165856432635,0.33261658564326346,0.981,0.8909,1.0,0.8909,False,
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,hard_filter_rejected,step2_hard_filters,adr_excluded;listing_age,,,,,,,,,,,,,
NFLX,"Netflix, Inc.",Communication Services,Entertainment,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,154,False,-0.35452749662683336,-0.14131494984903833,-0.1346712628146633,-0.2345274966268334,0.35452749662683336,0.9074,0.64899,1.0,0.64899,False,
KLAC,KLA Corporation,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,197,False,-0.4281450961501105,-0.25270034262503027,-0.2509357873757835,-0.3081450961501105,0.4281450961501105,0.9672,0.68481,1.0,0.68481,False,
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,hard_filter_rejected,step2_hard_filters,severe_dilution,,,,,,,,,,,,,
SNDK,Sandisk Corporation,Technology,"Hardware, Equipment & Parts",hard_filter_rejected,step2_hard_filters,insufficient_financial_history,,,,,,,,,,,,,
TXN,Texas Instruments Incorporated,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,180,False,-0.41076889204152395,-0.2313021536159795,-0.2314406223129481,-0.29076889204152395,0.41076889204152395,0.9004,0.560196,1.0,0.560196,False,
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,normalization_rejected,step4_normalized_model,no_normalized_earnings,,,,,,,,,,,,,
LIN,Linde plc,Basic Materials,Chemicals - Specialty,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,139,False,-0.3271614030748605,-0.08570058479963333,-0.07842428382136857,-0.20716140307486056,0.3271614030748605,0.8972,0.5368,1.0,0.5368,False,
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
TMUS,"T-Mobile US, Inc.",Communication Services,Telecommunications Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,258,False,-1.0699999999999998,-0.1905160939902998,-0.013572151120752069,-0.95,1.0699999999999998,0.4858,0.41204700000000005,1.0,0.41204700000000005,True,bear
ADI,"Analog Devices, Inc.",Technology,Semiconductors,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,223,False,-0.4922262761104502,-0.23724082155604265,-0.23011438171888587,-0.3722262761104502,0.4922262761104502,0.4345,0.42543000000000003,1.0,0.42543000000000003,False,
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,43,False,-0.1710267304605804,0.0721227342466591,0.08805722820688971,-0.0510267304605804,0.1710267304605804,0.923,0.8959,1.0,0.8959,False,
WDC,Western Digital Corporation,Technology,Computer Hardware,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,250,False,-0.8098012132780423,-0.5183978917199965,-0.506366185198567,-0.6898012132780423,0.8098012132780423,0.475,0.37602,1.0,0.37602,False,
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,71,False,-0.22167942061962087,0.04238147043979555,0.05853725371125622,-0.10167942061962089,0.22167942061962087,0.8943,0.7787,1.0,0.7787,False,
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,normalization_rejected,step4_normalized_model,no_normalized_earnings,,,,,,,,,,,,,
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,normalization_rejected,step4_normalized_model,no_normalized_earnings,,,,,,,,,,,,,
APP,AppLovin Corporation,Technology,Software - Application,watchlist,step6_scenario_valuation,insufficient_post_valuation_model_confidence,,,,-0.29038863549831145,-0.27972321003544487,-0.5177197520170012,0.6377197520170012,0.5555,0.30902310000000005,1.0,0.30902310000000005,False,
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Investment - Banking & Investment Services,watchlist,step2_model_routing,bank_model_not_supported,,,,,,,,,,,,,
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,90,False,-0.2645316294440999,0.011512444941035982,0.02819419307052161,-0.1445316294440999,0.2645316294440999,0.8797,0.7641,1.0,0.7641,False,
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical - Devices,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,156,False,-0.3559274248068686,-0.17309323524641507,-0.16868415431817985,-0.23592742480686862,0.3559274248068686,0.8888,0.7602,1.0,0.7602,False,
SHOP,Shopify Inc.,Technology,Software - Application,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
HON,Honeywell International Inc.,Industrials,Conglomerates,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,177,False,-0.40731697803304995,-0.1969667633558856,-0.18265001105901318,-0.28731697803304995,0.40731697803304995,0.7572,0.8132,1.0,0.8132,False,
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,watchlist,step6_scenario_valuation,roic_not_meaningful:meaningless_capital,,,,,,,,,0.4338,1.0,,,
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,195,False,-0.42707406164729034,-0.2148339282153756,-0.21383385299996005,-0.30707406164729034,0.42707406164729034,0.8663,0.5696730000000001,1.0,0.5696730000000001,False,
PDD,PDD Holdings Inc.,Consumer Cyclical,Specialty Retail,hard_filter_rejected,step2_hard_filters,adr_excluded,,,,,,,,,,,,,
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,69,False,-0.21856159476621534,0.04383654577395649,0.05523537478875371,-0.09856159476621536,0.21856159476621534,0.8782,0.6201,1.0,0.6201,False,
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,watchlist,step6_scenario_valuation,roic_not_meaningful:meaningless_capital,,,,,,,,,0.6355,1.0,,,
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,196,False,-0.4271686059178317,-0.23823233397924914,-0.23164071952051007,-0.3071686059178317,0.4271686059178317,0.8377,0.8493,1.0,0.8493,False,
MAR,"Marriott International, Inc.",Consumer Cyclical,Travel Lodging,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,242,False,-0.6424423397354256,-0.22047968123679304,-0.16865294933086256,-0.5224423397354256,0.6424423397354256,0.891,0.38296800000000003,1.0,0.38296800000000003,False,
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,watchlist,step2_model_routing,reit_model_not_supported,,,,,,,,,,,,,
CME,CME Group Inc.,Financial Services,Financial - Data & Stock Exchanges,watchlist,step2_model_routing,financial_sector_model_not_supported,,,,,,,,,,,,,
CEG,Constellation Energy Corporation,Utilities,Renewable Utilities,hard_filter_rejected,step2_hard_filters,earnings_cash_mismatch,,,,,,,,,,,,,
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,86,False,-0.2547074000746942,-0.044078519372851545,-0.03528963335556906,-0.13470740007469423,0.2547074000746942,0.9638,0.8507,1.0,0.8507,False,
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,59,False,-0.2076535226794658,0.001834712390700613,0.012288317419006517,-0.0876535226794658,0.2076535226794658,0.9696,0.81495,1.0,0.81495,False,
