ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LLY,Eli Lilly and Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,941741000.0,0.506,1081307016200.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,1148.2,2026-09-04,1081307016200.0,3283345870.0421214,True
JNJ,Johnson & Johnson,NYSE,common_stock,False,1962-01-02,Healthcare,Drug Manufacturers - General,US,2409898416.0011625,0.231,663276341036.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,275.23,2026-09-04,663276341036.0,2018460019.9584846,True
XOM,Exxon Mobil Corporation,NYSE,common_stock,False,1978-01-13,Energy,Oil & Gas Integrated,US,4144460000.0,0.173,660875591600.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,159.46,2026-09-04,660875591600.0,2344881823.361515,True
ORCL,Oracle Corporation,NYSE,common_stock,False,1986-03-12,Technology,Software - Infrastructure,US,2880470000.0,1.718,457505050100.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,158.83,2026-09-04,457505050100.00006,4603973645.326364,True
ABBV,AbbVie Inc.,NYSE,common_stock,False,2013-01-02,Healthcare,Drug Manufacturers - General,US,1766792820.999454,0.28,452899671735.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,256.34,2026-09-04,452899671735.0,1450191558.6090908,True
CVX,Chevron Corporation,NYSE,common_stock,False,1921-06-24,Energy,Oil & Gas Integrated,US,1991600000.0,0.488,415308348000.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,208.53,2026-09-04,415308348000.0,1573602000.9148486,True
KO,The Coca-Cola Company,NYSE,common_stock,False,1962-01-02,Consumer Defensive,Beverages - Non-Alcoholic,US,4302548933.995686,0.342,378925484617.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,88.07,2026-09-04,378925484617.0,1448300652.8912122,True
CAT,Caterpillar Inc.,NYSE,common_stock,False,1929-12-02,Industrials,Agricultural - Machinery,US,460636999.99999994,1.605,374930879780.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,813.94,2026-09-04,374930879780.0,2621955090.2954545,True
MRK,"Merck & Co., Inc.",NYSE,common_stock,False,1978-01-13,Healthcare,Drug Manufacturers - General,US,2469820000.0,0.211,371312738800.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,150.33,2026-09-04,371288040600.00006,1452758442.2966666,True
UNH,UnitedHealth Group Incorporated,NYSE,common_stock,False,1984-10-17,Healthcare,Medical - Healthcare Plans,US,908144404.0011079,0.632,360660468605.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,397.14,2026-09-04,360660468605.0,2158070891.4790907,True
PG,The Procter & Gamble Company,NYSE,common_stock,False,1978-01-13,Consumer Defensive,Household & Personal Products,US,2377208937.0006146,0.377,348094704645.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,146.43,2026-09-04,348094704645.0,1335354050.740606,True
DELL,Dell Technologies Inc.,NYSE,common_stock,False,2016-08-17,Technology,Computer Hardware,US,664250943.0,1.401,348067494132.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,524.0,2026-09-04,348067494132.0,3477231282.5160604,True
HD,"The Home Depot, Inc.",NYSE,common_stock,False,1981-09-22,Consumer Cyclical,Home Improvement,US,997117000.0,0.959,320124412850.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,321.05,2026-09-04,320124412850.0,1410448329.050909,True
PM,Philip Morris International Inc.,NYSE,common_stock,False,2008-03-17,Consumer Defensive,Tobacco,US,1558610000.0,0.4,284493083300.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,182.53,2026-09-04,284493083300.0,931692300.5624243,True
RTX,RTX Corporation,NYSE,common_stock,False,1952-09-15,Industrials,Aerospace & Defense,US,1347758101.001046,0.294,270616349100.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,200.79,2026-09-04,270616349100.0,963166918.1687878,True
ANET,"Arista Networks, Inc.",NYSE,common_stock,False,2014-06-06,Technology,Computer Hardware,US,1259169438.0018578,1.615,244001853696.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,193.78,2026-09-04,244001853696.0,1307647906.139697,True
TMO,Thermo Fisher Scientific Inc.,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Diagnostics & Research,US,371621000.0,0.847,228093537380.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,613.78,2026-09-04,228093537380.0,1087062112.68,True
IBM,International Business Machines Corporation,NYSE,common_stock,False,1915-09-24,Technology,Information Technology Services,US,942134000.0,0.705,221297855260.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,234.89,2026-09-04,221297855260.0,2341086380.087576,True
CRM,"Salesforce, Inc.",NYSE,common_stock,False,2004-06-23,Technology,Software - Application,US,819000000.0,1.152,212309370000.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,259.23,2026-09-04,212309370000.0,3001117185.5648484,True
VZ,Verizon Communications Inc.,NYSE,common_stock,False,1983-11-21,Communication Services,Telecommunications Services,US,4175560000.0,0.24,209362578400.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,50.14,2026-09-04,209362578400.0,1216692497.6509092,True
APH,Amphenol Corporation,NYSE,common_stock,False,1991-11-08,Technology,"Hardware, Equipment & Parts",US,2465960000.0,1.251,204132168800.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,82.78,2026-09-04,204132168800.0,1447215556.9133334,True
ABT,Abbott Laboratories,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,1730383371.999631,0.581,187435126855.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,108.33,2026-09-04,187452430688.72,1177517774.850606,True
DE,Deere & Company,NYSE,common_stock,False,1972-06-01,Industrials,Agricultural - Machinery,US,269937424.9996395,0.901,187209702360.0,2026-09-04,fmp:company-screener,2026-09-05T02:10:55.099962+00:00,693.53,2026-09-04,187209702359.99997,742809782.5160606,True
