ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,159,False,-0.2899976643144597,0.04518833940487424,0.08367573045817922,-0.16999766431445973,0.2899976643144597,0.2635723426046663,0.6,0.8,0.48,False,
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,165,False,-0.2942360590738826,-0.03577232945026479,-0.022012584279582338,-0.17423605907388265,0.2942360590738826,0.9387,0.58716,0.85,0.499086,False,
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,141,False,-0.27346416101159643,-0.07277507860547658,-0.0592273728340893,-0.15346416101159643,0.27346416101159643,0.5899339399080994,0.6,0.8,0.48,False,
V,Visa Inc.,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3381,1.0,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,99,False,-0.2181789088546065,-0.015422766406845735,-0.006858188987825967,-0.09817890885460652,0.2181789088546065,0.9492,0.9162,1.0,0.9162,False,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,271,False,-0.47218505373341024,-0.23147177454156911,-0.2138464649469824,-0.35218505373341025,0.47218505373341024,0.7109,0.71307,1.0,0.71307,False,
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,290,False,-0.5538233438302267,-0.28166855314748307,-0.26199894238379773,-0.4338233438302267,0.5538233438302267,0.7041,0.6439,1.0,0.6439,False,
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,172,False,-0.30432795329372064,-0.09180230352340873,-0.07578764478987798,-0.18432795329372065,0.30432795329372064,0.5354501514449488,0.6,0.8,0.48,False,
