ticker,name,sector,industry,final_bucket,decision_stage,decision_reason,rank,eligible,robust_return,expected_irr,median_irr,p10_irr,worst_case_hurdle_gap,business_quality,model_confidence,data_confidence,evidence_confidence,catastrophic_tail_floor_applied,catastrophic_tail_scenarios
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,151,False,-0.29724564983946034,-0.034334789471176894,-0.02050996149046111,-0.17724564983946037,0.29724564983946034,0.9387,0.57159,1.0,0.57159,False,
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,152,False,-0.299976082949436,0.03262292078546339,0.07064761036964451,-0.179976082949436,0.299976082949436,0.2635723426046663,0.6,0.8,0.48,False,
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,141,False,-0.2894150288838271,-0.09024633206909524,-0.07695389920498319,-0.1694150288838271,0.2894150288838271,0.5899339399080995,0.6,0.8,0.48,False,
V,Visa Inc.,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.342,1.0,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,92,False,-0.2361282636065152,-0.03939111281870279,-0.03192825799196723,-0.11612826360651521,0.2361282636065152,0.9526,0.9158,1.0,0.9158,False,
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,172,False,-0.3265314978459195,-0.11652450418892177,-0.10094578314642022,-0.2065314978459195,0.3265314978459195,0.5354501514449487,0.6,0.8,0.48,False,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,140,False,-0.28881104185886214,-0.002511013435287139,0.016359420193475697,-0.16881104185886214,0.28881104185886214,0.9234,0.6489,1.0,0.6489,False,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,254,False,-0.45529392810305586,-0.20890986580561727,-0.19062333022593514,-0.33529392810305586,0.45529392810305586,0.7109,0.71307,1.0,0.71307,False,
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,watchlist,step5_quality_risk,insufficient_model_confidence,,,,,,,,,0.3412,1.0,,,
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,272,False,-0.5043823457558756,-0.23833401336978566,-0.22087358471399055,-0.3843823457558756,0.5043823457558756,0.7328,0.643,1.0,0.643,False,
GE,GE Aerospace,Industrials,Aerospace & Defense,hard_filter_rejected,step2_hard_filters,security_type,,,,,,,,,,,,,
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,159,False,-0.3077129026281181,-0.07326715268573024,-0.05980738886864853,-0.18771290262811816,0.3077129026281181,0.9294,0.812,1.0,0.812,False,
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,31,False,-0.1374173290521139,0.029264557829810675,0.023875267803668998,-0.017417329052113902,0.1374173290521139,0.7709,0.671571,0.85,0.57083535,False,
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,78,False,-0.2224776989303063,0.015648407771368545,0.02811544155119921,-0.10247769893030631,0.2224776989303063,0.8994,0.8372,1.0,0.8372,False,
MS,Morgan Stanley,Financial Services,Financial - Capital Markets,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,108,False,-0.2595755164965521,-0.10416261767495597,-0.10641473597643195,-0.13957551649655212,0.2595755164965521,0.9612,0.7688699999999999,1.0,0.7688699999999999,False,
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,185,False,-0.3482958846306428,-0.02661617031553757,-0.004259679216193005,-0.22829588463064282,0.3482958846306428,0.6848,0.6623,1.0,0.6623,False,
DELL,Dell Technologies Inc.,Technology,Computer Hardware,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,279,False,-0.5299565205397084,-0.25996018246078156,-0.24624357995198798,-0.40995652053970844,0.5299565205397084,0.6976,0.5747399999999999,1.0,0.5747399999999999,False,
GS,"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
RTX,RTX Corporation,Industrials,Aerospace & Defense,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,266,False,-0.49301962850178827,-0.1904873238661821,-0.1693352520072949,-0.37301962850178827,0.49301962850178827,0.4567,0.5586300000000001,1.0,0.5586300000000001,False,
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,86,False,-0.23049913557362742,-0.006323323214019162,0.006743883277522428,-0.11049913557362742,0.23049913557362742,0.9783,0.8816,1.0,0.8816,False,
GEV,GE Vernova Inc.,Utilities,Renewable Utilities,hard_filter_rejected,step2_hard_filters,listing_age,,,,,,,,,,,,,
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,135,False,-0.2815732731553001,-0.06158346549010241,-0.04464879960287693,-0.16157327315530012,0.2815732731553001,0.520607358086104,0.6,0.8,0.48,False,
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,201,False,-0.3707387193501926,-0.1734488481553853,-0.1669547240831889,-0.2507387193501926,0.3707387193501926,0.9218,0.5021190000000001,1.0,0.5021190000000001,False,
C,Citigroup Inc.,Financial Services,Banks - Diversified,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,257,False,-0.46314148957990564,-0.1791116824145174,-0.14796634609817116,-0.34314148957990565,0.46314148957990564,0.27231741165201934,0.6,0.8,0.48,False,
AXP,American Express Company,Financial Services,Financial - Credit Services,watchlist,step2_model_routing,consumer_finance_model_not_supported,,,,,,,,,,,,,
IBM,International Business Machines Corporation,Technology,Information Technology Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,248,False,-0.4389191608049441,-0.11813126214838118,-0.08929424944799391,-0.3189191608049441,0.4389191608049441,0.7826,0.6937,0.7,0.48558999999999997,False,
TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,246,False,-0.43779781704317416,-0.20542218999744355,-0.19931836303003359,-0.31779781704317417,0.43779781704317416,0.6345,0.553554,1.0,0.553554,False,
APH,Amphenol Corporation,Technology,"Hardware, Equipment & Parts",research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,183,False,-0.3467936864867806,-0.12244701897434423,-0.11181274211267007,-0.2267936864867806,0.3467936864867806,0.9058,0.6014700000000001,0.85,0.5112495,False,
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,101,False,-0.24898062895983453,-0.059603801087359874,-0.060872095590457295,-0.12898062895983453,0.24898062895983453,0.7487,0.726651,1.0,0.726651,False,
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,109,False,-0.260123718844552,-0.006291191858690551,0.011121006924076967,-0.14012371884455202,0.260123718844552,0.9373,0.8201,1.0,0.8201,False,
SCHW,The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
ABT,Abbott Laboratories,Healthcare,Medical - Devices,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,192,False,-0.35812907465035093,-0.15238153893733394,-0.14953285987721754,-0.23812907465035094,0.35812907465035093,0.726,0.593649,1.0,0.593649,False,
DIS,The Walt Disney Company,Communication Services,Entertainment,research_queue,step7_risk_adjusted_ranking,robust_return<=0; median_irr<=hurdle,284,False,-0.557849936960265,-0.127784400517703,-0.07625471332576123,-0.43784993696026503,0.557849936960265,0.4227,0.6222,1.0,0.6222,False,
BA,The Boeing Company,Industrials,Aerospace & Defense,hard_filter_rejected,step2_hard_filters,interest_coverage;negative_ebitda_with_debt;severe_dilution;earnings_cash_mismatch,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",Financial Services,Asset Management,watchlist,step2_model_routing,asset_management_model_not_supported,,,,,,,,,,,,,
