ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags
BRK-B,Berkshire Hathaway Inc.,NYSE,common_stock,False,1996-05-09,Financial Services,Insurance - Diversified,US,2156853740.0008235,0.617,1043227016963.2001,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,485.79,2026-06-11,1047777978355.0001,2372484361.6784377,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Diversified,US,2679511418.000574,1.0,837079366983.2,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,313.49,2026-06-11,840000034429.0,2734824504.7740626,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Visa Inc.,NYSE,common_stock,False,2008-03-19,Financial Services,Financial - Credit Services,US,1916826360.9998431,0.765,619058241548.5599,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,319.05,2026-06-11,611563450477.0,2399570869.6490626,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Mastercard Incorporated,NYSE,common_stock,False,2006-05-25,Financial Services,Financial - Credit Services,US,883583856.0009044,0.738,429872381782.56,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,486.51,2026-06-11,429872381783.0,1831392108.1328125,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,Bank of America Corporation,NYSE,common_stock,False,1973-02-21,Financial Services,Banks - Diversified,US,7096590650.9971,1.196,387048054105.54,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,55.16,2026-06-11,391447940309.0,1884514944.05875,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Morgan Stanley,NYSE,common_stock,False,1993-02-23,Financial Services,Financial - Capital Markets,US,1577284816.9989655,1.221,325961680281.22,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,212.66,2026-06-11,335425389183.0,1156135494.21625,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,"The Goldman Sachs Group, Inc.",NYSE,common_stock,False,1999-05-04,Financial Services,Financial - Capital Markets,US,295007420.99957514,1.291,304450608546.21,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,1035.64,2026-06-11,305521485484.0,2019573768.6603124,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC,Wells Fargo & Company,NYSE,common_stock,False,1972-06-01,Financial Services,Banks - Diversified,US,3060190000.0,0.93,252955305400.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,82.4,2026-06-11,252159656000.00003,1314315920.133125,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Citigroup Inc.,NYSE,common_stock,False,1977-01-03,Financial Services,Banks - Diversified,US,1705577004.9974651,1.115,230585483190.97498,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,138.07,2026-06-11,235489017080.0,1514514384.694375,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,American Express Company,NYSE,common_stock,False,1972-06-01,Financial Services,Financial - Credit Services,US,682326442.9997802,1.058,217239092922.34,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,318.49,2026-06-11,217314148831.0,1006911056.7290626,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",NYSE,common_stock,False,1999-10-01,Financial Services,Asset Management,US,155233989.0003738,1.434,158119788855.51,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,1016.58,2026-06-11,157807768538.0,729504807.060625,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,The Charles Schwab Corporation,NYSE,common_stock,False,1987-09-22,Financial Services,Financial - Capital Markets,US,1739140000.0,0.773,155253027800.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,88.7,2026-06-11,154261718000.0,947262091.52625,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL,Welltower Inc.,NYSE,common_stock,False,1980-03-19,Real Estate,REIT - Healthcare Facilities,US,705914000.0,0.78,149201983040.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,210.67,2026-06-11,148714902380.0,701854199.66875,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,Blackstone Inc.,NYSE,common_stock,False,2007-06-22,Financial Services,Asset Management,US,1201264408.000331,1.585,144500095638.32,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,120.88,2026-06-11,145208841639.08,889924829.9193751,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLD,"Prologis, Inc.",NYSE,common_stock,False,1997-11-21,Real Estate,REIT - Industrial,US,932338000.0,1.334,135906910260.00002,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,147.19,2026-06-11,137230830220.0,493189678.0675,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPGI,S&P Global Inc.,NYSE,common_stock,False,2016-04-28,Financial Services,Financial - Data & Stock Exchanges,US,296000000.0,1.076,126483760000.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,413.34,2026-06-11,122348640000.0,857869531.9375,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,The Progressive Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Property & Casualty,US,584337000.0,0.27,119321615400.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,202.26,2026-06-11,118188001620.0,604782482.7003125,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,Capital One Financial Corporation,NYSE,common_stock,False,1994-11-16,Financial Services,Financial - Credit Services,US,622292782.9982421,1.037,111657994053.69,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,182.04,2026-06-11,113282178217.0,896840646.65,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,"The PNC Financial Services Group, Inc.",NYSE,common_stock,False,1975-11-17,Financial Services,Banks - Regional,US,401565000.0,0.918,93420081600.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,233.94,2026-06-11,93942116100.0,472084175.85312504,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,U.S. Bancorp,NYSE,common_stock,False,1973-05-03,Financial Services,Banks - Diversified,US,1552300000.0,0.999,88186163000.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,57.63,2026-06-11,89459049000.0,514252489.7421875,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,American Tower Corporation,NYSE,common_stock,False,1998-02-27,Real Estate,REIT - Specialty,US,465893068.9979399,0.891,89567942515.25,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,189.31,2026-06-11,88198216892.0,606101706.87,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKR,KKR & Co. Inc.,NYSE,common_stock,False,2010-07-15,Financial Services,Asset Management,US,897872940.996852,1.791,86052142665.44,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,95.3,2026-06-11,85567291277.0,512957402.21375,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSH,"Marsh & McLennan Companies, Inc.",NYSE,common_stock,False,1987-12-30,Financial Services,Insurance - Brokers,US,481795000.0,0.611,80532034250.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,168.15,2026-06-11,81013829250.0,524792620.2375,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,"Intercontinental Exchange, Inc.",NYSE,common_stock,False,2005-11-16,Financial Services,Financial - Data & Stock Exchanges,US,565512494.9992806,0.922,78594926555.09999,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,138.98,2026-06-11,78594926555.00002,552033601.93875,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APO,"Apollo Global Management, Inc.",NYSE,common_stock,False,2011-03-30,Financial Services,Asset Management,US,576517513.0012696,1.488,75604506654.81999,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,133.91,2026-06-11,77201460166.0,523351197.92125,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Moody's Corporation,NYSE,common_stock,False,1994-10-31,Financial Services,Financial - Data & Stock Exchanges,US,174700000.0,1.339,77185954000.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,441.82,2026-06-11,77185954000.0,477745276.3175,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AON,Aon plc,NYSE,common_stock,False,1980-06-02,Financial Services,Insurance - Brokers,US,213576949.00023875,0.714,72528596110.90999,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,335.17,2026-06-11,71584585996.41002,462514206.9446875,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPG,"Simon Property Group, Inc.",NYSE,common_stock,False,1993-12-14,Real Estate,REIT - Retail,US,324282000.0,1.346,69675230520.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,214.86,2026-06-11,69675230520.0,314498353.055,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRV,"The Travelers Companies, Inc.",NYSE,common_stock,False,1975-11-17,Financial Services,Insurance - Property & Casualty,US,212644693.00098717,0.495,64507894068.48,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,303.9,2026-06-11,64622722203.0,436026762.3825,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLR,"Digital Realty Trust, Inc.",NYSE,common_stock,False,2004-10-29,Real Estate,REIT - Specialty,US,351406000.0,1.046,64985511580.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,182.84,2026-06-11,64251073040.0,404254929.33218753,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFC,Truist Financial Corporation,NYSE,common_stock,False,1980-03-18,Financial Services,Banks - Regional,US,1245879275.0,0.884,63141161657.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,50.68,2026-06-11,63141161657.0,414707936.3184375,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Aflac Incorporated,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Life,US,508985000.0,0.61,59749749150.0,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,116.45,2026-06-11,59271303250.0,283719319.711875,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,Realty Income Corporation,NYSE,common_stock,False,1994-10-18,Real Estate,REIT - Retail,US,932492529.9951543,0.734,57917111038.3,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,61.91,2026-06-11,57730612532.0,365179781.2584375,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA,Public Storage,NYSE,common_stock,False,1980-11-18,Real Estate,REIT - Industrial,US,175545747.99975362,0.963,56676700199.28,2026-06-11,fmp:company-screener,2026-06-12T12:55:34.004224+00:00,324.71,2026-06-11,57001459832.99999,304124738.2084375,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
